Items = {
A_plus 🅰️
Fresh_Bread 🍞
Friend's_Gift 🎁
Garbage 🗑️
Gift_Box 🎁
God_Box 📦
Golden_Coins 🪙
Golden_Corndog 🌭
Golden_Nugget 🟡
Golden_Plastic_Bits 🧩
Grass 🌿
Gravestone 🪦
Green_Screen 🟩
Grind_Pack 💪
Grub_Pail 🪱
Headphones 🎧
Hoe 🪓
Holiday_Stocking 🧦
Holy_Badosz's_Bread 🍞
Holy_Water 💧
Hunting_Rifle 🔫
Hunting_Trophy 🏆
Inflated_Delicacy 🎈
Jacky_o'_Lanty 🎃
Jar_Of_Singularity 🫙
Junk 🗑️
Kable's_Sunglasses 🕶️
Keyboard ⌨️
Ladybug 🐞
Landmine 💣
Laptop 💻
Lasso 🪢
Law_Degree 🎓
Legacy_Common_Fish 🐟
Legacy_Exotic_Fish 🐠
Legacy_Fishing_Bait 🪱
Legacy_Fishing_Pole 🎣
Legacy_Jelly_Fish 🪼
Legacy_Kraken 🐙
Legacy_Legendary_Fish 🐉
Legacy_Rare_Fish 🐟
Life_Saver 🛟
Like_Button 👍
Literally_Karen 🙅‍♀️
Literally_a_Tree 🌳
Lotus_Flower 🌸
Lotus_Seeds 🌱
Lucky_Horseshoe 🍀
Melmsie's_Banana 🍌
Melmsie's_Beard 🧔
Membership_Box 📦
Membership_Pack 🎫
Meme_Box 📦
Meme_pills 💊
Menorah 🕎
Meteorite ☄️
Microphone 🎤
Mistletoe 🌿
Mole_Man 👨‍🌾
Motivational_Poster 🖼️
Mouse 🐭
Multi_Colored_Plastic_Bits 🧩
Musical_Note 🎵
New_Player_Pack 🎒
New_Years_Popper 🎉
Normie_Box 📦
Odd_Eye 👁️
Old_Box 📦
Old_Cowboy_Revolver 🔫
Orange_Plastic_Bits 🧩
Ornament 🎄
Out_West_Adventure_Box 📦
Padlock 🔒
Patreon_Box 📦
Patreon_Pack 🎁
Pepe_Box 📦
Pepe_Coin 🪙
Pepe_Crown 👑
Pepe_Medal 🏅
Pepe_Ribbon 🎗️
Pepe_Ring 💍
Pepe_Statue 🗿
Pepe_Sus 🐸
Pepe_Trophy 🏆
Pet_Collar 🐕
Pet_Feces 💩
Pet_Food 🥫
Pet_Saddle 🐴
Pink_Plastic_Bits 🧩
Pink_Rubber_Ducky 🦆
Pink_Sludge_Monster 👾
Pizza_Slice 🍕
Plastic_Bag 🛍️
Plastic_Box 📦
Police_Badge 🛡️
Postcard ✉️
Potato 🥔
Potato_☭ 🥔
Potato_Seeds 🌱
Prestige_Coin 🪙
Prestige_Pack 🎁
Prismatic_Delight 🌈
Purple_Plastic_Bits 🧩
Puzzle_Key 🧩
Rabbit 🐇
Rare_Butterfly 🦋
Rare_Pepe 🐸
Reversal_Card 🔄
Ring_Light 💡
Robbers_Mask 🥷
Robbers_Wishlist 📝
Royal_Scepter 🔱
Rusty_Machine 🛠️
Sanic_Hot_Dog 🌭
Santa's_Bag 🎅
Santa's_Hat 🎅
School_Urinal 🚽
Seaweed 🌿
Shooting_Star 🌠
Shop_Coupon 🏪
Shovel 🥄
Shredded_Cheese 🧀
Skunk 🦨
Snowball ❄️
Snowflake ❄️
Soggy_Boots 👢
Soggy_Plant_Clump 🌿
Sound_Card 🎶
Space_Adventure_Box 📦
Spider 🕷️
Spooky_Mask 🎭
Squishy_Paw 🐾
Stack_of_Cash 💵
Star_Fragment 🌟
Stickbug 🐛
Stolen_Amulet 🧿
Stonk_Coin 📈
Stonk_Machine 📈
Strawberry_Shake 🍓
Streak_Freeze ❄️
Sugar_Skull 💀
Sunbear's_D20 🐻
Sunken_Treasure 🪙
Swordfish 🐟
Tentacled_Temptation 🐙
The_Letter ✉️
The_Megaphone 📣
Tidepod 🧼
Tip_Jar 🫙
Toilet_Paper 🧻
Tool_Box 🧰
Townie's_Eyes 👀
Trash 🗑️
Treasure_Map 🗺️
Trivia_Trophy 🏆
Tumbleweed 🌾
Universe_Box 📦
Used_Diaper 💩
Vaccine 💉
Voodoo_Doll 🪆
Vote_Pack 🗳️
Water_Bucket 🪣
Watering_Can 🚿
Watermelon 🍉
Watermelon_Seeds 🌱
Wedding_Gift 💍
Weet's_Donut 🍩
Winning_Lottery_Ticket 🎟️
Work_Box 📦
Worm 🪱
Zig's_Capybara 🐹
ZomB's_ZomBee 🐝
}
